0,1,2,3,4,5,6,7,8,9,10
265.0,270.7089023435582,270.89668128497823,270.89989082774713,270.89992823520805,270.899928568981,270.89992857141067,270.8999285714258,270.8999285714258,270.8999285714258,270.8999285714286
265.0,270.70513540516384,270.8965518148691,270.8998885580971,270.899928208162,270.8999285687346,270.8999285714088,270.89992857142573,270.89992857142573,270.89992857142573,270.8999285714286
265.0,270.7013735549273,270.8964199351248,270.89988620088945,270.89992817953254,270.89992856846885,270.89992857140675,270.8999285714257,270.8999285714257,270.8999285714257,270.8999285714286
265.0,270.6976167842011,270.89628565248887,270.89988375459154,270.8999281492605,270.89992856818264,270.89992857140453,270.8999285714256,270.8999285714256,270.8999285714256,270.8999285714286
265.0,270.69386508435446,270.8961489736885,270.89988121767755,270.8999281172859,270.89992856787484,270.8999285714021,270.89992857142556,270.89992857142556,270.89992857142556,270.8999285714286
265.0,270.690118446773,270.89600990543477,270.89987858862816,270.8999280835478,270.8999285675443,270.8999285713994,270.8999285714255,270.8999285714255,270.8999285714255,270.8999285714286
265.0,270.6863768628588,270.8958684544225,270.8998758659309,270.8999280479842,270.89992856718976,270.8999285713965,270.8999285714254,270.89992857142545,270.89992857142545,270.8999285714286
265.0,270.68264032403056,270.8957246273304,270.89987304807977,270.89992801053216,270.89992856680993,270.89992857139333,270.8999285714253,270.8999285714254,270.8999285714254,270.8999285714286
265.0,270.67890882172287,270.8955784308212,270.89987013357546,270.8999279711278,270.89992856640356,270.89992857138986,270.89992857142516,270.89992857142533,270.89992857142533,270.8999285714286
265.0,270.67518234738714,270.8954298715413,270.89986712092525,270.8999279297063,270.8999285659693,270.8999285713861,270.89992857142505,270.8999285714253,270.8999285714253,270.8999285714286
265.0,270.67146089249076,270.8952789561212,270.8998640086429,270.8999278862019,270.8999285655057,270.899928571382,270.89992857142494,270.8999285714252,270.8999285714252,270.8999285714286
265.0,270.66774444851757,270.8951256911756,270.89986079524886,270.899927840548,270.8999285650114,270.8999285713776,270.8999285714248,270.89992857142516,270.89992857142516,270.8999285714286
265.0,270.6640330069677,270.894970083303,270.89985747927,270.899927792677,270.8999285644848,270.89992857137287,270.8999285714247,270.8999285714251,270.8999285714251,270.8999285714286
265.0,270.6603265593574,270.8948121390861,270.8998540592396,270.8999277425204,270.8999285639245,270.89992857136775,270.8999285714246,270.89992857142505,270.89992857142505,270.8999285714286
265.0,270.65662509721903,270.8946518650917,270.8998505336976,270.8999276900087,270.89992856332884,270.89992857136224,270.8999285714245,270.899928571425,270.899928571425,270.8999285714286
265.0,270.6529286121013,270.89448926787077,270.89984690119036,270.8999276350717,270.8999285626963,270.89992857135627,270.89992857142437,270.89992857142494,270.89992857142494,270.8999285714286
265.0,270.6492370955688,270.8943243539584,270.8998431602706,270.8999275776382,270.8999285620251,270.89992857134985,270.89992857142425,270.8999285714249,270.8999285714249,270.8999285714286
265.0,270.6455505392024,270.8941571298741,270.8998393094976,270.899927517636,270.89992856131346,270.8999285713429,270.89992857142414,270.8999285714248,270.8999285714248,270.8999285714286
265.0,270.64186893459885,270.89398760212146,270.8998353474369,270.8999274549921,270.8999285605598,270.89992857133547,270.899928571424,270.89992857142477,270.89992857142477,270.8999285714286
